className,featureName,latitude,longitude
verrazano-bridge,Verrazano Bridge,40.616106,-74.025704
barclays-center,Barclays,40.683109,-73.976762
bedford-avenue,Bedford Avenue,40.717847,-73.957674
pulaski-bridge,Pulaski Bridge,40.739273,-73.952793
queensboro-bridge,Queensboro Bridge,40.758017, -73.956691
willis-avenue-bridge,Willis Avenue Bridge,40.807197,-73.924216
marcus-garvey-park,Marcus Garvey Park,40.803891,-73.946228
upper-east-side,Upper East Side,40.796252,-73.949700
columbus-circle,Columbus Circle,40.768001,-73.981445
finish-line,Finish Line,40.772720,-73.976540
